psro_40c,psro
8.423281513,8.022752346
,7.984936461
,8.053353431
8.707550895,8.264331013
,8.15223871
8.532602818,8.097271355
8.508333497,8.073542441
,8.108276013
,8.017908711
,7.795947096
8.21462102,7.761807651
,
,8.705329806
,8.722586341
,8.684244141
,8.603235692
,8.6419877
,8.578283686
8.809176928,8.342666008
8.647668568,8.189224805
8.57302577,8.124527227
,8.174421935
,8.750020158
9.326096993,8.811154159
9.272489464,8.79170286
,8.633183902
9.098821207,8.649667771
,8.583559378
,8.292621699
8.688801005,8.232538506
8.532250728,8.1173956
,
8.818529644,8.391172743
,8.353380214
9.007192612,8.543724418
8.98855515,8.542398478
,8.423614047
,8.355564448
8.607641055,8.19718741
8.302814935,7.874091992
8.338653708,7.911917141
,7.733607897
,7.901900543
,8.501188014
8.693695233,8.225002375
,8.497139967
9.087809898,8.611874806
9.022163965,8.581437098
,8.649155193
,8.306840695
,8.080431477
8.482584241,8.04324412
,7.809841791
,8.037580116
,8.193301592
8.661691527,8.185211198
,8.385752438
,8.539397398
9.108020088,8.660535576
9.033161459,8.580124777
,8.445836938
8.672948436,8.232338709
,8.056004202
,7.825982556
,7.800410889
,7.964898833
,7.714116297
8.304950477,7.860152285
,8.119744319
8.591288299,8.171845192
,8.158442053
,8.062902303
,7.780611261
,7.571584743
,7.393127957
,
,7.733537352
8.268103413,7.817745847
8.470328899,8.014021349
,8.183327591
,
,7.952182139
,7.706021747
,7.471161731
,7.43002201
,8.03652919
8.72602502,8.262057945
8.80094208,8.337190915
8.912953782,8.451209421
,8.405105244
8.63797255,8.203473332
,7.961109054
8.282046327,7.854144386
,
,8.229549501
8.875260776,8.395775211
8.838180741,8.366599668
8.746843113,8.276096897
8.627497729,8.186169055
8.459226736,8.020840711
,
,8.26644969
8.76844373,8.291549515
,8.144972011
8.627884735,8.153441811
,8.194055455
,8.099651863
,8.291901328
8.570213047,8.121774043
,8.060642418
8.42671655,7.99950434
,7.930989193
8.313352938,7.865785649
,7.835287887
,8.197110492
8.683452552,8.205003939
,8.128207745
,8.148508233
8.566781652,8.102479312
8.457396414,8.002960714
,
8.087631511,7.637151699
,
9.252172468,8.744887496
9.259698702,8.749668108
9.232699515,8.736260931
9.162168064,8.669530343
,8.667863873
,8.617643994
,
8.508510571,8.033936098
8.319683871,7.915934151
,8.138863005
9.231514625,8.729284249
9.378400079,8.85423382
,8.806608974
,8.720880798
9.193550287,8.703123165
,8.606208506
8.719671957,8.262365856
8.509676697,8.051986954
,7.876083475
,
,
,
,8.512050514
,8.540959754
8.963580777,8.50004861
8.835281164,8.387530387
8.635346917,8.18630381
8.236074174,7.809108
8.169646865,7.723197207
,7.530115615
,7.681649538
,
,
9.021643272,8.527913732
,8.597767012
9.056138331,8.598307182
9.10420996,8.643308691
8.673660891,8.23047735
,7.975797357
8.299582547,7.844921674
,7.555832884
,7.795102142
,8.268337969
8.720917337,8.240883051
8.940279685,8.461373243
9.06974582,8.587218954
9.142447055,8.673780959
,8.566295559
,8.351053466
,8.116358767
8.358573128,7.913276492
,7.626804151
,
,8.049195885
,7.790231707
,7.912060803
,8.155201588
8.670859173,8.200241498
,8.083824551
8.412081689,7.974065845
,7.741153251
,
,
,
,7.789542689
,7.877222404
8.507593015,8.037934898
8.626935905,8.177204017
,8.09694662
,7.922154912
,7.585314557
,7.267969958
,
8.497532872,8.088762997
8.811256651,8.331642229
8.818127476,8.32578868
8.896388245,8.414384408
8.828970816,8.340400541
8.570729385,8.108707397
,7.878582388
,7.670373667
,
8.756592376,8.274356913
8.848012584,8.362335988
,8.332180657
,8.169234642
8.511555435,8.044690168
,7.885267232
,
,8.201642653
,8.18188186
,
,8.481561382
9.139436673,8.650110476
9.171162079,8.689289197
,8.418742543
8.80723778,8.374550714
,8.359226162
8.81342984,8.349199272
8.899055999,8.435531234
8.893466577,8.427265825
8.978725168,8.526189662
,8.260639529
,8.382710188
,8.308949673
,8.371034365
8.869789365,8.422905433
,8.403268588
,8.253983663
8.704465415,8.260781213
,8.202484044
9.337659121,8.828912464
,8.880804039
,8.820668471
9.32257051,8.825373748
,8.956899061
,8.924067821
9.184403741,8.711348038
9.052722454,8.59113569
9.004809214,8.559437837
,8.223082744
,8.852881753
9.531967566,9.041106923
9.47454603,8.986821856
,8.876059333
9.417732715,8.950968475
9.419989037,8.938878766
9.095850768,8.635628423
9.051239551,8.593230892
8.917386342,8.477565472
,
8.893295006,8.506872643
,8.476062616
9.202522212,8.750838113
,8.772995368
,8.717820099
9.095824641,8.666559271
,8.526139386
,8.280810211
,8.283052202
8.570418228,8.150633086
,8.278750558
9.089301313,8.614579693
,8.467289657
9.220961975,8.747018524
9.333509533,8.859271512
9.284635031,8.848785923
9.353612084,8.917978807
9.034634426,8.611591915
8.89209048,8.471781201
,8.448033365
,8.208570287
,8.481016818
,8.350715983
8.840853246,8.375162181
,8.64919296
,8.83874696
,8.924288441
9.359259699,8.90443442
9.2125858,8.76819045
9.033118308,8.600570828
8.88675426,8.442051078
,8.204949427
8.618815781,8.166278613
8.560112247,8.128282684
,7.833907396
,7.999440881
8.778596903,8.338209854
,8.376838865
,8.351258726
,8.289810243
8.509903572,8.095768935
,7.817781199
,7.646534027
,7.868531746
,7.81068144
,7.926861971
8.618796383,8.189004065
8.829625948,8.389451483
8.775090886,8.343693221
,8.203167243
,7.89149025
,7.690741018
,7.747157153
8.591817741,8.140063018
,8.472773459
,8.572614298
9.190989142,8.706041785
9.171963842,8.698508781
8.943471773,8.489766698
,8.246373623
,8.200938473
,7.974374825
8.866313038,8.425548722
9.121829789,8.637001986
,8.606549156
8.991925738,8.525354764
8.847462834,8.404401895
8.735237478,8.287383141
8.478462799,8.067374173
8.922384407,8.445853208
8.912904258,8.444434555
,8.257210629
,9.154576403
,9.224329634
,9.048548369
,9.037388893
9.468470279,8.996930805
9.581473635,9.101562386
,9.087610872
,9.010881451
,8.854631438
,8.775110846
,8.936942332
9.497767156,9.016462056
,8.911829608
,8.797433268
9.259207984,8.840680792
,8.737443928
,8.63560265
9.00669643,8.551897038
,8.434709528
9.786551777,9.299665205
,9.416852714
9.688895519,9.192243321
,9.161551726
,9.285714558
9.616350251,9.11969892
,8.899274546
,8.91741108
,8.835100186
,8.535156089
9.753069012,9.27734365
,9.250837076
9.760045203,9.264787722
,9.416852714
,9.508928367
,9.30524581
9.210379855,8.747209554
,8.730468605
,8.860212043
,
,8.683036061
9.129464546,8.678850173
9.126673375,8.708147051
,9.051339539
,9.125279525
,9.169921766
,8.955077999
8.897879829,8.434709528
8.713727656,8.27567008
8.842076377,8.377511358
,8.408202953
,8.653739184
,8.600725167
9.178292675,8.706751466
9.585657788,9.080636416
,9.101562386
,9.30106079
